Thời gian cào:    Fri Nov 07 2025 14:11:15 GMT+0700 (Indochina Time)
Post URL:            https://www.tiktok.com/@thaihoa_entertainment/video/7524182856457800980
Người đăng:          Thái Hoà Entertainment
Tag người đăng:      @thaihoa_entertainment
URL người đăng:      https://www.tiktok.com/@thaihoa_entertainment
Thời gian đăng:      7-7-2025
Số lượt tym:         4533
Số lượt comment:     233
Số lượt lưu:         1134
Số lượt share:       N/A
Mô tả của bài đăng:  "HỌC PHÍ ĐẠI HỌC 2025: “LỘ TRÌNH TĂNG KHÔNG PHANH” - CÁC CHIẾN BINH 2K7 THI ĐẬU ĐẠI HỌC GIỜ CHỈ MỚI LÀ BƯỚC 1!. #HọcPhíĐạiHọc #ThuHọcPhí #HọcPhíGiáoDụcĐạiHọc #ĐạiHọcCôngLập#TháiHoàEntertainment. ẩn bớt"
Số bình luận cấp 1:  112
Số bình luận cấp 2:  18
Tổng số bình luận thực tế đã load:  130
Số bình luận TikTok hiển thị:       233
Chênh lệch số bình luận:            103
STT,Tên,Tag tên,URL,Comment,Time,Likes,Level Comment,Replied To Tag Name,Number of Replies
18,"Thư","Thư",https://www.tiktok.com/@Thư,"3 năm covid, thi ts trễ, 3 năm cấp 3 ct mới cách thi mới, giữa chừng thì đổi cách tô tn, thi gk ck có tự luận, hk2 cấm dạy thêm, gần thi đh cho dạy lại, đề thi khó đin, học phí đh tăng, kiếp trước 2k7 mình đã làm gì thế các cậu 😇",8-7-2025,68,No,---,5
19,"Phạm Thị Ngọc Ánh","Phạm Thị Ngọc Ánh",https://www.tiktok.com/@Phạm Thị Ngọc Ánh,"🥰năm heo nhưng là cày như trâu, bị dắt như bòo",8-7-2025,15,Yes,"i_milyth?lang=vi-VN",0
20,"Thái Hà","Thái Hà",https://www.tiktok.com/@Thái Hà,"kiếp trước làm đồ tể, kiếp này làm heo vàng đó 😂😂😂",1-9-2025,0,Yes,"i_milyth?lang=vi-VN",0
21,"🇻🇳🇷🇺 mãi lụy gấu Nga","🇻🇳🇷🇺 mãi lụy gấu Nga",https://www.tiktok.com/@🇻🇳🇷🇺 mãi lụy gấu Nga,"lm pôn pót",8-7-2025,0,Yes,"i_milyth?lang=vi-VN",0
22,"ThanhhuongLai","ThanhhuongLai",https://www.tiktok.com/@ThanhhuongLai,"ác nhất sai 1 câu trừ 0.5 đ.đúng 0.1đ",9-7-2025,5,Yes,"i_milyth?lang=vi-VN",0
23,"Hướng nội mà học Teacher 😭","Hướng nội mà học Teacher 😭",https://www.tiktok.com/@Hướng nội mà học Teacher 😭,"😇Làm polpot á bà",10-7-2025,0,Yes,"i_milyth?lang=vi-VN",0
24,"🐰","🐰",https://www.tiktok.com/@🐰,"t khoc thiet do",10-7-2025,0,No,---,0
25,"Lệ Huyền","Lệ Huyền",https://www.tiktok.com/@Lệ Huyền,"Tăng vậy nhà nghèo học giỏi cũng phải bức làm sao họ lo cho con họ học,sao không giảm giúp cho họ học đến nơi đến trốn ạ,",8-7-2025,2,No,---,1
26,"hữu thắng","hữu thắng",https://www.tiktok.com/@hữu thắng,"vậy thì những thằng ngu con ông cháu tra mới có cố hội để học và làm quan chứ bạn 😁😁",8-7-2025,2,Yes,"user1uy60hn0zz?lang=vi-VN",0
27,"Quốc Cường 💢💦💤","Quốc Cường 💢💦💤",https://www.tiktok.com/@Quốc Cường 💢💦💤,"giảm học phí cho học sinh tăng học phí cjo sinh viên 🤡 câu chuyện mang tên đại học tự chủ về tài chính 🤡",9-7-2025,3,No,---,3
28,"cục đá không biết buồn","cục đá không biết buồn",https://www.tiktok.com/@cục đá không biết buồn,"dc cái 2k7 vừa từ hsinh thành svien",9-7-2025,2,Yes,"n_q_c_369?lang=vi-VN",0
29,"Quốc Cường 💢💦💤","Quốc Cường 💢💦💤",https://www.tiktok.com/@Quốc Cường 💢💦💤,"2k7 là tuổi con 🐷 mà tiếc là ko phải heo vàng 😆",10-7-2025,1,Yes,"n_q_c_369?lang=vi-VN",0
30,"meongaoda44","meongaoda44",https://www.tiktok.com/@meongaoda44,"heo mổ trong nhà máy 😂",24-8-2025,0,Yes,"n_q_c_369?lang=vi-VN",0
31,"Chi_Khangg","Chi_Khangg",https://www.tiktok.com/@Chi_Khangg,"t học cao đẳng :))",10-7-2025,0,No,---,1
32,"JeftGame","JeftGame",https://www.tiktok.com/@JeftGame,"Mình trượt nên cx cao đẳng :))",17-7-2025,0,Yes,"chi_khang18?lang=vi-VN",0
33,"nos","nos",https://www.tiktok.com/@nos,"chi phí thì ngày càng tăng mà lương có tăng cho ngta đâu",7-7-2025,17,No,---,1
34,"Tôi viết truyện nè","Tôi viết truyện nè",https://www.tiktok.com/@Tôi viết truyện nè,"nói vậy thì cả nền kinh tế đình trệ, của cải vật chất không được tạo ra rồi",8-7-2025,1,Yes,"dos000000001?lang=vi-VN",0
35,"matcha sữa gấu🌀","matcha sữa gấu🌀",https://www.tiktok.com/@matcha sữa gấu🌀,"hiểu q.đội c.an tăng chóng mặt r 😔",7-7-2025,13,No,---,1
36,"Văn thị lin","Văn thị lin",https://www.tiktok.com/@Văn thị lin,"mà chỉ tiêu có hạn chứ",8-7-2025,0,Yes,"nguynthhngdin?lang=vi-VN",0
37,"candyphuong507","candyphuong507",https://www.tiktok.com/@candyphuong507,"Cho ĐH nó ế cho biết",25-8-2025,2,No,---,0
38,"Tú nguyễn","Tú nguyễn",https://www.tiktok.com/@Tú nguyễn,"các cháu lại đi học nghề hết thôi vừa nhanh có việc làm vừa có tiền",9-7-2025,0,No,---,0
39,"Trần Quốc Huy","Trần Quốc Huy",https://www.tiktok.com/@Trần Quốc Huy,"ko bt đến khi nào nhà nước miễn học phí,",27-8-2025,0,No,---,0
40,"me ngâm chấm muối ớt","me ngâm chấm muối ớt",https://www.tiktok.com/@me ngâm chấm muối ớt,"Chắc chắn là quả báo! t sinh trùng ngày với Kenedy😭😭😭😭",9-7-2025,0,No,---,0
41,"赵露思","赵露思",https://www.tiktok.com/@赵露思,"kỉ nguyên khó khăn tìm kiến thức😌🙏",9-7-2025,4,No,---,0
42,"học thì ngu mà gu thì học bá","học thì ngu mà gu thì học bá",https://www.tiktok.com/@học thì ngu mà gu thì học bá,"😞 đấy đâu phải học thêm là bước cản lớn nhất của hs đâu ông bộ trưởng bgd ổng cản còn ác hơn",9-7-2025,1,No,---,0
43,"Ngô Quốc Huy","Ngô Quốc Huy",https://www.tiktok.com/@Ngô Quốc Huy,"Chịu",8-7-2025,0,No,---,0
44,"CT Tươi","CT Tươi",https://www.tiktok.com/@CT Tươi,"có vấn đề j vs 2k7 vậy ?",10-7-2025,0,No,---,0
45,"Anbirt","Anbirt",https://www.tiktok.com/@Anbirt,"nhà toi 4 chị em, toi con út vừa ra trường thì mphi 3 cấp học 🐧🤡",10-7-2025,0,No,---,0
46,"Ninh mit","Ninh mit",https://www.tiktok.com/@Ninh mit,"thế là học đại học dần dành cho ng giầu chứ k phải ng giỏi rồi ô bộ gd",18-8-2025,0,No,---,0
47,"linhlin9537653933","linhlin9537653933",https://www.tiktok.com/@linhlin9537653933,"TỪ LÚC BÁC TRỌNG VỀ CÕI PHẬT.DÂN RẤT KHỔ 😭",9-7-2025,2,No,---,0
48,"Yui💋","Yui💋",https://www.tiktok.com/@Yui💋,"Tr tr giờ điểm thi nqq chắc j có trường nào nhận nữa:))",12-7-2025,0,No,---,0
49,"gautruc_120622","gautruc_120622",https://www.tiktok.com/@gautruc_120622,"kiếp nạn của 2 k7",8-7-2025,0,No,---,0
50,"vuha","vuha",https://www.tiktok.com/@vuha,"ê j v",15-7-2025,0,No,---,0
51,"أنا لست خائفا_SLAYJEANS👯‍♀️","أنا لست خائفا_SLAYJEANS👯‍♀️",https://www.tiktok.com/@أنا لست خائفا_SLAYJEANS👯‍♀️,"2k7-nhà Hán, 2k8-nhà Đường, 2k9-nhà Minh",10-7-2025,0,No,---,0
52,"Bảo Tâm","Bảo Tâm",https://www.tiktok.com/@Bảo Tâm,"con gái thì đậu rồi nè , mà nghe học phí , rầu quá",16-7-2025,0,No,---,0
53,"黄沙长沙属于越南","黄沙长沙属于越南",https://www.tiktok.com/@黄沙长沙属于越南,"t thi xong t đi làm học chi cho mệt tiền còn tăng nhà t nghèo học s đc😀",8-7-2025,1,No,---,0
54,"Khánh 💤","Khánh 💤",https://www.tiktok.com/@Khánh 💤,"mạnh dũng",27-8-2025,0,No,---,0
55,"Võ My","Võ My",https://www.tiktok.com/@Võ My,"nghèo sao học nổi đây",19-7-2025,0,No,---,0
56,"Shop Nhà Heo","Shop Nhà Heo",https://www.tiktok.com/@Shop Nhà Heo,"rồi tiền đâu học😭😭😭",23-7-2025,0,No,---,0
57,"Zi.i","Zi.i",https://www.tiktok.com/@Zi.i,"tại sao t vừa ra trg lại miễn phí học phí c1-3 còn phí đại học lại tăng 😇",9-7-2025,2,No,---,0
58,"Liz","Liz",https://www.tiktok.com/@Liz,"thi đậu r sợ ko có tiền học",8-7-2025,0,No,---,0
59,"ph.nhung🍀","ph.nhung🍀",https://www.tiktok.com/@ph.nhung🍀,"@Ngọc Huyền 🐧 đi xklđ cho t,đi học vừa hết c3 thì miễn phí học phí,lên đại học thì học phí tăng,thi tốt nghiệp thì ctrình ms,đề toán như văn,thi tốt nghiệp t.a mà tưởng thi IELTS 🙂",9-7-2025,1,No,---,1
60,"Ngọc Huyền 🐧","Ngọc Huyền 🐧",https://www.tiktok.com/@Ngọc Huyền 🐧,"cắt đường tương lai của 2k7",9-7-2025,1,Yes,"ntpn044?lang=vi-VN",0
61,"Phương An","Phương An",https://www.tiktok.com/@Phương An,"Nữa t cho con t đi du học",7-7-2025,0,No,---,0
62,"Ngọc Quân","Ngọc Quân",https://www.tiktok.com/@Ngọc Quân,"hây.....😩😩😩😩",11-7-2025,0,No,---,0
63,"Ng Anh Huy2210","Ng Anh Huy2210",https://www.tiktok.com/@Ng Anh Huy2210,"cao thế",7-7-2025,0,No,---,0
64,"HOÀNG MẠNH ROX Key","HOÀNG MẠNH ROX Key",https://www.tiktok.com/@HOÀNG MẠNH ROX Key,"Cả nước bỏ dại học",9-7-2025,0,No,---,0
65,"tkm","tkm",https://www.tiktok.com/@tkm,"nhà thi nghèo học phí thì lên dan nghèo chỉ biết kêu trời",15-7-2025,0,No,---,0
66,"Trà đào cam xả","Trà đào cam xả",https://www.tiktok.com/@Trà đào cam xả,"😭😭😭😭 quá sợ",8-7-2025,1,No,---,0
67,"Hoàng Phương","Hoàng Phương",https://www.tiktok.com/@Hoàng Phương,"con gái tui 2k7 dự định học đại học mà học phí cao thế này nuôi sao nổi ,",23-7-2025,1,No,---,0
68,"TrọngK","TrọngK",https://www.tiktok.com/@TrọngK,"trg công học phí trg tư 🙂",10-7-2025,0,No,---,0
69,"thw","thw",https://www.tiktok.com/@thw,"hên quá mình bỏ học",9-7-2025,2,No,---,0
70,"︎︎ ︎ ︎︎ ︎︎ ︎Nhi","︎︎ ︎ ︎︎ ︎︎ ︎Nhi",https://www.tiktok.com/@︎︎ ︎ ︎︎ ︎︎ ︎Nhi,"Riết t nghĩ kiếp trc t tạo nghiệt gì mà kiếp này sóng gió thế",9-7-2025,1,No,---,0
71,"Cẩm Tú","Cẩm Tú",https://www.tiktok.com/@Cẩm Tú,"2k7 từ hs thành sv và nhà nước giảm hphi hs tăng hphi sv😇",9-7-2025,1,No,---,0
72,"Nguyễn Khánh88133","Nguyễn Khánh88133",https://www.tiktok.com/@Nguyễn Khánh88133,"Mỗi năm tăng hơn mười triệu con cái hoc đại gia đinh nghèo muon thủa",16-8-2025,0,No,---,0
73,"mỳ hai 🦐","mỳ hai 🦐",https://www.tiktok.com/@mỳ hai 🦐,"Bỏ học",7-7-2025,0,No,---,0
74,"duongduong9138","duongduong9138",https://www.tiktok.com/@duongduong9138,"@tlin🌷",8-7-2025,0,No,---,1
75,"🌷","🌷",https://www.tiktok.com/@🌷,"tạm biệt tui đi du học Taiwan 🥰",8-7-2025,0,Yes,"duongduong9138?lang=vi-VN",0
76,"Nguyễn Thị Như Ngọc","Nguyễn Thị Như Ngọc",https://www.tiktok.com/@Nguyễn Thị Như Ngọc,"@Đờ cờ mờ 😉 @bông ୨ৎ @ê nha @CHU THỊ YẾN NHI🦭 @nào đỗ đại học thì đổi tên 😍 @Phương Thảoo",7-7-2025,3,No,---,0
77,"um 🦦","um 🦦",https://www.tiktok.com/@um 🦦,"@công chúa đá",20-7-2025,1,No,---,0
78,"~kimdan~","~kimdan~",https://www.tiktok.com/@~kimdan~,"@luv Chô li be's spaghetii💗 @Sú Tổngk🔥🪼",12-7-2025,1,No,---,0
79,"🦥","🦥",https://www.tiktok.com/@🦥,"😭😭😭😭",7-7-2025,1,No,---,0
80,"Vy Gấu 🐻‍❄️","Vy Gấu 🐻‍❄️",https://www.tiktok.com/@Vy Gấu 🐻‍❄️,"@Tường My",26-8-2025,0,No,---,0
81,"user5955638337747","user5955638337747",https://www.tiktok.com/@user5955638337747,"🥰🥰🥰",23-8-2025,0,No,---,0
82,"Trịnh Hà","Trịnh Hà",https://www.tiktok.com/@Trịnh Hà,"😭",19-8-2025,0,No,---,0
83,"🌾Bảy Vũ Miền Tây 🌾","🌾Bảy Vũ Miền Tây 🌾",https://www.tiktok.com/@🌾Bảy Vũ Miền Tây 🌾,"🥰🥰🥰",25-7-2025,0,No,---,0
84,"0968445064","0968445064",https://www.tiktok.com/@0968445064,"😥😥😥😥😥😥😥",16-7-2025,0,No,---,0
85,"Trần Huyền ( PD Diệu Linh)","Trần Huyền ( PD Diệu Linh)",https://www.tiktok.com/@Trần Huyền ( PD Diệu Linh),"@Tarna Sana @a",16-7-2025,0,No,---,0
86,"bé mầm 🌟","bé mầm 🌟",https://www.tiktok.com/@bé mầm 🌟,"😊😊😊",10-7-2025,0,No,---,0
87,"cutetinhnghichehe","cutetinhnghichehe",https://www.tiktok.com/@cutetinhnghichehe,"😇",9-7-2025,0,No,---,0
88,"chấn Huy","chấn Huy",https://www.tiktok.com/@chấn Huy,"😁😁😁",8-7-2025,0,No,---,0
89,"Tùngg đâyy màaa😨","Tùngg đâyy màaa😨",https://www.tiktok.com/@Tùngg đâyy màaa😨,"học phí c1 c2 c3 có tí tẹo thì miễn, còn học phí đh vốn dĩ đã là gánh nặng giờ còn hơn-)))",8-7-2025,0,No,---,2
90,"Tùngg đâyy màaa😨","Tùngg đâyy màaa😨",https://www.tiktok.com/@Tùngg đâyy màaa😨,"Ừ thì mình biết hồi xưa cử nhân quý lắm, người có bằng là hiếm như vàng, thời đó cả làng có 1 người học đại học cũng đủ nở mày nở mặt rồi. Nhưng đó là ngày xưa, còn bây giờ xã hội phát triển, học đại học gần như là chuyện phổ thông – mà chất lượng chưa chắc tỉ lệ thuận với học phí. Nâng cao đời sống là đúng, ai cũng muốn phát triển. Nhưng không phải ai cũng có điều kiện mà trả giá cho sự nâng cao đó.Học phí tăng mà đầu ra vẫn mù mờ, việc làm không rõ ràng, lương bèo bọt, vậy thì giá trị 'danh giá' có còn thật sự đáng không?Nên đừng lấy lý do “ngày xưa danh giá” để biện minh cho việc tăng học phí bất hợp lý ngày nay. Bây giờ người ta học vì sống, chứ không phải để được gọi là cử nhân danh giá nữa.""",8-7-2025,0,Yes,"tungne_7?lang=vi-VN",0
91,"Tôi viết truyện nè","Tôi viết truyện nè",https://www.tiktok.com/@Tôi viết truyện nè,"Cũng biết danh giá nữa hả? Vậy để được phổ cập thì bắt đầu kể khổ, danh giá nó có khả năng chuyển đổi thành lợi ích cụ thể chứ không danh giá có ích gì. Không đáp ứng nổi nhu cầu thì biết điều học cao đẳng, không lẽ muốn nâng cao đời sống thì lấy lẽ đó để nhà nước cấp mỗi người 1 tỷ để khởi nghiệp? Làm sao gọi là tăng giá bất hợp lý, trăm năm tăng một lần vẫn hợp lý, kỳ nào cũng tăng thì cũng có gì lạ? Lạm phát có bao giờ bằng 0 đâu mà đòi không tăng, chất lượng đào tạo là vấn đề của trường và học sinh đừng đánh đồng với chính sách an sinh của nhà nước. Lương bèo bọt thì tất cả mọi người đều nghèo à, hay muốn như làm cho nhà nước, hay chủ nghĩa xã hội tuyệt đối làm theo năng lực hưởng theo nhu cầu?",8-7-2025,0,Yes,"tungne_7?lang=vi-VN",0
92,"Nguyên Ngọc Nghĩa","Nguyên Ngọc Nghĩa",https://www.tiktok.com/@Nguyên Ngọc Nghĩa,"đại học chỉ dành cho nhà có tiền còn các cháu nhà nghèo có học giỏi cũng chỉ là mơ vì mức thu nhập của bố mẹ mỗi người có 8t 1thang mà nuôi 2 con ăn học",8-7-2025,0,No,---,1
93,"Tôi viết truyện nè","Tôi viết truyện nè",https://www.tiktok.com/@Tôi viết truyện nè,"Nói vậy khác gì nói tôm hùm, vi cá là dành cho người giàu? Muốn ăn sang hơn thì trả tiền cai hơn, đại học là phương tiện để cạnh tranh, không muốn hơn người thì cao đẳng đòi hỏi gì?",8-7-2025,0,Yes,"nguyn.ngc.ngha70?lang=vi-VN",0
94,"a có 1 múi thôi :)","a có 1 múi thôi :)",https://www.tiktok.com/@a có 1 múi thôi :),"đi làm công nhân, làm nghề là xong. xh phân hóa giàu nghèo là thực tế. ai hiểu thời thế ng đó nhàn thân. học đh làm gì khi bây giờ tới giáo sư tiến sĩ còn đông như lợn con. xh đang thừa thày thiếu thợ là thực tế. vậy đã là con nhà nghèo hãy sống cho thực tế, cs này cần tồn tại đã, giàu có ròi thì ươc mơ nào trả làm đc",7-7-2025,2,No,---,1
95,"coconut","coconut",https://www.tiktok.com/@coconut,"năm r nhà mk đã bắt đầu ko có dự định cho hc đh mk còn buồn năm nay thấy tiền cỡ z thấy gia đình đưa ra q.định đúng đắn",8-7-2025,0,Yes,"aco1muithoi.tn?lang=vi-VN",0
96,"hfia.nm_","hfia.nm_",https://www.tiktok.com/@hfia.nm_,"free học phí c1 - c3 để tiết kiệm lên đại học đóng",9-7-2025,0,No,---,0
97,"Truc Nguyên 11587","Truc Nguyên 11587",https://www.tiktok.com/@Truc Nguyên 11587,"nhà nghèo làm công nhân thì lấy đâu ra để đóng học phí , trung tiểu học thì giảm , mà đại học thì tăng, nhà nước muốn cho con e làm công nhân để dễ quản lý",8-7-2025,0,No,---,0
98,"ánh dương","ánh dương",https://www.tiktok.com/@ánh dương,"Sinh viên là tương lai của đất nước,tăng học phí là vô lương tâm,các ông nghĩ gì khi các em muốn học để ổn định tương lai,phát triển đất nước mà giờ lại đẩy những người không có thu nhập vào áp lực tiền bạc,đa số sinh viên là con nhà nghèo và trung bình.các người có nhớ thời sinh viên của mình phải xoay sở bằng cách nào ko mà giờ lại muốn vơ vét vô tội vạ",8-7-2025,0,No,---,0
99,"Hông muốn đi học","Hông muốn đi học",https://www.tiktok.com/@Hông muốn đi học,"T sẵn sàng rồi, hãy để t trùng sinh thức tỉnh hệ thống đi chứ đikimi 2007 khổ quá",12-7-2025,0,No,---,1
100,"Hông muốn đi học","Hông muốn đi học",https://www.tiktok.com/@Hông muốn đi học,"T bỏ cả đh đây ☠️🙏",12-7-2025,0,Yes,"hgvanii?lang=vi-VN",0
101,"con ạc này ghét tin","con ạc này ghét tin",https://www.tiktok.com/@con ạc này ghét tin,"@🍭 p chi bm đẻ t sớm 1 năm 😌😇",9-7-2025,1,No,---,1
102,"🍭","🍭",https://www.tiktok.com/@🍭,"thật, giờ khổ v đấy 😭",9-7-2025,0,Yes,"phaisongthattotnha?lang=vi-VN",0
103,"phúc khánh","phúc khánh",https://www.tiktok.com/@phúc khánh,"thế thì chỉ còn quan mới có çơ hôi học đại học còn nhà nghèo hết cơ hôi",7-7-2025,0,No,---,1
104,"Tôi viết truyện nè","Tôi viết truyện nè",https://www.tiktok.com/@Tôi viết truyện nè,"Nực cười, tự nhiên trên trời quan rơi xuống quan giàu, tự nhiên sinh ra cái dân nghèo",8-7-2025,0,Yes,"khlinh379?lang=vi-VN",0
105,".......ai ấy",".......ai ấy",https://www.tiktok.com/@.......ai ấy,"thui đi nghĩa vụ quân sự cho r",7-7-2025,0,No,---,1
106,"Văn thị lin","Văn thị lin",https://www.tiktok.com/@Văn thị lin,"đi đi cho lành",8-7-2025,0,Yes,"contac73?lang=vi-VN",0
107,"Phaps📸","Phaps📸",https://www.tiktok.com/@Phaps📸,"2k7 dính tam tai, kim lâu thật🤡",9-7-2025,1,No,---,0
108,"ông tiên","ông tiên",https://www.tiktok.com/@ông tiên,"giáo dục la hàng đầu đất nước .ko quan tâm đầu tư hổ trợ ma còn cấu xé",25-8-2025,0,No,---,0
109,"Tráng hiền","Tráng hiền",https://www.tiktok.com/@Tráng hiền,"Như này có mà bố mẹ Cày cong lưng kinh tế thì càng ngày càng sa sút học phí thì càng ngày càng tăng chả biết sau này ra trường có nên cơ đồ gì không hay lại đi làm công nhân thì nhục",20-8-2025,0,No,---,0
110,"Hương Bùi","Hương Bùi",https://www.tiktok.com/@Hương Bùi,"nha nươc vn phai quan tâm đên cao đăng vơi đai hoc nhiêu tiên ma khong đươc miên giam không công băng môt chut nao",13-8-2025,0,No,---,0
111,"Bà Ngoại Sữa 🥰","Bà Ngoại Sữa 🥰",https://www.tiktok.com/@Bà Ngoại Sữa 🥰,"Heo vàng đâu không thấy mà chỉ thấy vàng mắt 😄",18-7-2025,0,No,---,0
112,"xuan","xuan",https://www.tiktok.com/@xuan,"heo kim cương.....",14-7-2025,0,No,---,0
113,"Bố mày quá đẳng cấp","Bố mày quá đẳng cấp",https://www.tiktok.com/@Bố mày quá đẳng cấp,"chắc kiếp trước t là Pol Pot quá",12-7-2025,0,No,---,0
114,"Trần Duyên","Trần Duyên",https://www.tiktok.com/@Trần Duyên,"nghèo ngang là đây bạn ơi!",12-7-2025,0,No,---,0
115,"Mẹ kêu làm tóp tóp kơ","Mẹ kêu làm tóp tóp kơ",https://www.tiktok.com/@Mẹ kêu làm tóp tóp kơ,"2k7 đạp sóng rẽ gió, vượt ngàn chông gai",11-7-2025,0,No,---,0
116,"Trần Nhi","Trần Nhi",https://www.tiktok.com/@Trần Nhi,"chẳng bt heo vàng 2k7 sau này tương lai ra sao chứ tui đuối quá rồi",10-7-2025,0,No,---,0
117,"Nguyễn Hoàng Phát","Nguyễn Hoàng Phát",https://www.tiktok.com/@Nguyễn Hoàng Phát,"@huynhthi_17 rách việc rồi chị bé ơi",10-7-2025,0,No,---,0
118,"Nấm dưa gang🍄","Nấm dưa gang🍄",https://www.tiktok.com/@Nấm dưa gang🍄,"ừ chính là tôi á, tôi là cái đứa kiếp trước làm pol pot🙂",9-7-2025,0,No,---,0
119,"NGÔ ĐỨC 1976.","NGÔ ĐỨC 1976.",https://www.tiktok.com/@NGÔ ĐỨC 1976.,"tien sư chúng may giết dân hả",9-7-2025,0,No,---,0
